代码,名称,最新份额,最新价,fund_size_yi,cluster,name_clean
512170,医疗ETF华宝,83305820160.0,0.316,263.2463917056,医疗ETF,医疗ETF
513180,恒生科技ETF华夏,72848760832.0,0.57,415.2379367424,恒生科技ETF,恒生科技ETF
513330,恒生互联网ETF华夏,72437481472.0,0.362,262.22368292863996,恒生互联网ETF,恒生互联网ETF
512000,券商ETF华宝,71294435328.0,0.552,393.54528301056,券商ETF,券商ETF
159792,港股通互联网ETF富国,61782855168.0,0.549,339.18787487232004,港股通互联网ETF,港股通互联网ETF
512880,证券ETF国泰,51268291584.0,1.155,592.1487677952,证券ETF,证券ETF
512010,医药ETF易方达,49214694912.0,0.363,178.64934253056,医药ETF,医药ETF
159636,港股通科技30ETF工银,40668501248.0,0.494,200.90239616512002,港股通科技30ETF,港股通科技30ETF
512690,酒ETF鹏华,34321750272.0,0.396,135.91413107712,酒ETF,酒ETF
515880,通信ETF国泰,33557886976.0,1.579,529.87903535104,通信ETF,通信ETF
513050,中概互联网ETF易方达,33554432768.0,1.009,338.56422662911996,中概互联网ETF,中概互联网ETF
588000,科创50ETF华夏,29963668224.0,2.102,629.83630606848,科创50ETF,科创50ETF
512890,红利低波ETF华泰柏瑞,29286110720.0,1.09,319.21860684800004,红利低波ETF,红利低波ETF
513980,港股科技ETF景顺,23414203904.0,0.577,135.09995652608,港股科技ETF,港股科技ETF
159928,消费ETF汇添富,23282629120.0,0.628,146.21491087360002,消费ETF,消费ETF
159516,半导体设备ETF国泰,23157179904.0,1.73,400.6192123392,半导体设备ETF,半导体设备ETF
513120,港股创新药ETF广发,22608635392.0,1.161,262.48625690112,港股创新药ETF,港股创新药ETF
159941,纳指ETF广发,22486410240.0,1.622,364.72957409279996,纳指ETF,纳指ETF
563360,A500ETF华泰柏瑞,22246987520.0,1.375,305.8960784,A500ETF,A500ETF
159992,创新药ETF银华,20315381248.0,0.862,175.11858635776002,创新药ETF,创新药ETF
510300,沪深300ETF华泰柏瑞,18395587584.0,4.876,896.96885059584,沪深300ETF,沪深300ETF
159870,化工ETF鹏华,18371107072.0,0.868,159.46120938496,化工ETF,化工ETF
159338,中证A500ETF国泰,17693086720.0,1.302,230.3639890944,中证A500ETF,中证A500ETF
512070,证券保险ETF易方达,17382479616.0,0.808,140.45043529728,证券保险ETF,证券保险ETF
159570,港股通创新药ETF汇添富,15780597248.0,1.408,222.19080925184,港股通创新药ETF,港股通创新药ETF
562500,机器人ETF华夏,15458687232.0,1.203,185.96800740096,机器人ETF,机器人ETF
513770,港股互联网ETF华宝,14523137792.0,0.336,48.79774298112,港股互联网ETF,港股互联网ETF
512800,银行ETF华宝,14149479936.0,0.747,105.69661512191999,银行ETF,银行ETF
515450,红利低波50ETF南方,13836835072.0,1.347,186.38216841984,红利低波50ETF,红利低波50ETF
588200,科创芯片ETF嘉实,13182894848.0,4.373,576.48799170304,科创芯片ETF,科创芯片ETF
159859,生物医药ETF天弘,12661639936.0,0.376,47.60776615936,生物医药ETF,生物医药ETF
